IUPAC,Formula,Phase,Value,REF
Carbon monoxide,CO,G,-137.15,Thauer1997
Carbon monoxide,CO,L,-119,Beber2022
Carbon dioxide,CO2,G,-394.359,Thauer1997
Carbon dioxide,CO2,L,-386.02,Thauer1997
Oxygen,O2,G,0,Beber2022
Oxygen,O2,L,16.4,Thauer1997
Water,H2O,L,-237.18,Thauer1997
Methane,CH4,G,-50.75,Thauer1997
Methane,CH4,L,-50.79,Thauer1997
Hydrogen,H2,G,0,Thauer1997
Hydrogen,H2,L,104.8,Beber2022
Nitrous oxide,N2O,G,104.18,Thauer1997
Nitrous oxide,N2O,L,104.2,Beber2022
Ammonia,NH3,G,-16.4,Kleerebezem2010
Ammonia,NH3,L,-26.57,Thauer1997
Ammonium,NH4+,L,-79.37,Thauer1997
Nitric oxide,NO,G,86.6,Thauer1997
Nitric oxide,NO,L,86.5,Beber2022
Hydrogen sulfide,H2S,G,-33.56,Thauer1997
Hydrogen sulfide,H2S,L,-27.87,Thauer1997
Bisulfide,HS-,L,12.05,Thauer1997
Sulfide,S-2,L,85.6,Thauer1997
Sulfurous acid,H2SO3,L,-537.895,Thauer1997
Hydrogen sulfite,HSO3-,L,-527.81,Thauer1997
Sulfite,SO3-2,L,-486.6,Thauer1997
Sulfuric acid,H2SO4,L,-690,Zumdahl2012
Hydrogen sulfate,HSO4-,L,-756.01,Thauer1997
Sulfate,SO4-2,L,-744.67,Thauer1997
Acetic acid, CH3COOH,L,-389,Zumdahl2012
Acetate,CH3COO-,L,-369.41,Thauer1997
Carbonic acid,H2CO3,L,-623.16,Thauer1997
Bicarbonate,HCO3-,L,-586.85,Thauer1997
Carbonate,CO3-2,L,-527.9,Thauer1997
Nitrous acid,HNO2,L,-50.6,Alberty2004
Nitrite,NO2-,L,-32.2,Alberty2004
Nitric acid,HNO3,L,-111.25,Alberty2004
Nitrate,NO3-,L,-108.74,Alberty2004
Hydroxide,OH-,L,-157.293,Thauer1997
Proton,H+,L,0,Kleerebezem2010
Sulfur dioxide,SO2,G,-300.194,Thauer1997
Sulfur dioxide,SO2,L,-300.708,Thauer1997
